id,name,name_url,timestamp,price,market_cap,volume24h,circulating_supply,n_wallets,wallets,news_titles,news_urls
4943,Dai,multi-collateral-dai,2021-04-12 20:34:13.326300+00:00,1.0,3271720497,295624472,3264387783,6,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Safepal', 'Binance Chain Wallet']","['Crypto Staking Guide 2021', 'The Flipside Stablecoin Recipe for Success\xa0', 'What Is a Non-Fungible Token (NFT)?', 'What Is Crypto Lending?', 'Alchemix — Pulling Back the Curtain: Flipside Crypto', 'Should I Invest In DeFi?', 'What Is Yield Farming?', 'YFI Token Suffers Sell-Offs as Millions of Dollars Stolen in Yearn.Finance Exploit']","['https://coinmarketcap.com/alexandria/article/crypto-staking-guide-2021', 'https://coinmarketcap.com/alexandria/article/the-flipside-stablecoin-recipe-for-success', 'https://coinmarketcap.com/alexandria/article/what-is-a-non-fungible-token-nft', 'https://coinmarketcap.com/alexandria/article/what-is-crypto-lending', 'https://coinmarketcap.com/alexandria/article/alchemix-pulling-back-the-curtain-flipside-crypto', 'https://coinmarketcap.com/alexandria/article/should-i-invest-in-defi', 'https://coinmarketcap.com/alexandria/article/what-is-yield-farming', 'https://coinmarketcap.com/alexandria/article/yfi-token-suffers-sell-offs-as-millions-of-dollars-stolen-in-yearn-finance-exploit']"
131,Dash,dash,2021-04-12 20:33:37.086702+00:00,277.81,2798876216,950229774,10074890,7,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Exodus', 'Coinbase', 'Dash Core']",['What Are Privacy Coins?'],['https://coinmarketcap.com/alexandria/article/what-are-privacy-coins']
1966,Decentraland,decentraland,2021-04-12 20:29:29.108922+00:00,1.08,1702595028,463878597,1578097513,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase']",[],[]
1168,Decred,decred,2021-04-12 20:32:14.433789+00:00,192.96,2472451786,29922775,12813458,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Exodus']",[],[]
1886,Dent,dent,2021-04-12 20:25:58.237512+00:00,0.01296,1218467363,137931591,94033927361,2,"['Trust Wallet', 'MetaMask']",[],[]
109,DigiByte,digibyte,2021-04-12 20:25:48.792735+00:00,0.08414,1195750460,47653181,14211548433,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Digibytewallets']",[],[]
1765,EOS,eos,2021-04-12 20:35:23.131041+00:00,6.51,6195909556,2259749091,952478991,9,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Coinbase', 'Cobo', 'imToken', 'Scatter', 'Safepal']",[],[]
6892,Elrond,elrond-egld,2021-04-12 20:35:01.978459+00:00,222.65,3848277722,334403879,17283646,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Elrond wallet']",[],[]
2130,Enjin Coin,enjin-coin,2021-04-12 20:32:26.102935+00:00,3.03,2529500281,444365522,834313757,3,"['Ledger', 'Trust Wallet', 'MetaMask']",['What Is a Non-Fungible Token (NFT)?'],['https://coinmarketcap.com/alexandria/article/what-is-a-non-fungible-token-nft']
1321,Ethereum Classic,ethereum-classic,2021-04-12 20:31:19.646215+00:00,19.32,2246790871,1330253512,116313299,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Exodus', 'Coinbase']","['A Dive Into Ethereum 2.0', 'Ethereum vs Ethereum Classic', 'What Is GPU Mining?', 'Why Nobody Can Hack a Blockchain', ""Who Are December's Top 25 'Healthiest' Crypto Projects?: Flipside Crypto"", 'What Is a DAO?', 'What Is a Hard Fork?', 'What Is Censorship Resistance?']","['https://coinmarketcap.com/alexandria/article/a-dive-into-ethereum-2-0', 'https://coinmarketcap.com/alexandria/article/ethereum-vs-ethereum-classic', 'https://coinmarketcap.com/alexandria/article/what-is-gpu-mining', 'https://coinmarketcap.com/alexandria/article/why-nobody-can-hack-a-blockchain', 'https://coinmarketcap.com/alexandria/article/who-are-decembers-top-25-healthiest-crypto-projects-flipside-crypto', 'https://coinmarketcap.com/alexandria/article/what-is-a-dao', 'https://coinmarketcap.com/alexandria/article/what-is-a-hard-fork', 'https://coinmarketcap.com/alexandria/article/what-is-censorship-resistance']"
4195,FTX Token,ftx-token,2021-04-12 20:21:32.531751+00:00,53.05,5004758278,294416030,94346958,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Binance Chain Wallet']",[],[]
3513,Fantom,fantom,2021-04-12 20:24:45.098930+00:00,0.4323,1100279380,80540853,2545006273,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Binance Chain Wallet']",[],[]
4558,Flow,flow,2021-04-12 20:26:32.512134+00:00,37.48,1273068888,182351292,33967817,1,['Ledger'],[],[]
4642,Hedera Hashgraph,hedera-hashgraph,2021-04-12 20:33:10.991629+00:00,0.3404,2694786604,205746748,7916862783,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Atomic wallet']",[],[]
5665,Helium,helium,2021-04-12 20:26:44.915069+00:00,16.35,1280050739,20201970,78312901,1,['Ledger'],[],[]
2682,Holo,holo,2021-04-12 20:34:04.166039+00:00,0.01905,3222579274,643848643,169164199065,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
2502,Huobi Token,huobi-token,2021-04-12 20:20:18.546862+00:00,21.61,3950243095,1721600106,182827444,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
2099,ICON,icon,2021-04-12 20:28:54.493413+00:00,2.69,1606062315,188313254,597151371,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'ICONex']",[],[]
2405,IOST,iostoken,2021-04-12 20:23:46.192185+00:00,0.05955,975042742,464468054,16374175762,5,"['Ledger', 'TokenPocket', 'Trezor', 'Math Wallet', 'Trust Wallet']",[],[]
1720,IOTA,iota,2021-04-12 20:22:33.919809+00:00,1.99,5537861520,162968347,2779530283,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Trinity']",[],[]
2087,KuCoin Token,kucoin-token,2021-04-12 20:27:56.878113+00:00,18.81,1507192104,152940810,80118638,2,"['Trust Wallet', 'MetaMask']",[],[]
5034,Kusama,kusama,2021-04-12 20:34:37.281309+00:00,435.32,3687181052,286906751,8470098,4,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet']",[],[]
